account_id,customer_id,branch_id,account_type,balance,open_date,status
1127,56991,140,NRI,29685.06,2025-01-01,Active
4612,51134,2,Current,5223.44,2025-01-01,Active
7832,18657,94,Current,20459.59,2025-01-01,Active
13120,43136,50,Current,9611.93,2025-01-01,Active
19967,36979,31,Savings,2579.44,2025-01-01,Active
22178,43484,144,Salary,99191.05,2025-01-01,Active
27022,46113,25,Savings,15719,2025-01-01,Active
34194,13865,16,Current,100238.85,2025-01-01,Active
35085,11829,96,Savings,11416.99,2025-01-01,Active
42593,29403,17,Current,30672.83,2025-01-01,Active
49640,22322,144,Savings,58090.4,2025-01-01,Active
55783,32349,96,Savings,21040.51,2025-01-01,Active
59839,19063,26,Fixed Deposit,54861.88,2025-01-01,Active
69197,41867,5,Fixed Deposit,2254.94,2025-01-01,Active
86901,31052,135,Savings,59936.95,2025-01-01,Active
7240,15569,61,Savings,8074.94,2025-01-02,Active
11568,23395,31,Current,55833.24,2025-01-02,Active
23136,25877,21,Current,109944.78,2025-01-02,Active
25707,12825,74,Current,24216.74,2025-01-02,Active
43112,58595,62,Current,18393.19,2025-01-02,Active
48688,46308,15,Savings,25530.21,2025-01-02,Active
56432,23334,56,Savings,11180.82,2025-01-02,Active
68135,2228,122,Fixed Deposit,18713.93,2025-01-02,Active
70930,53686,15,Savings,5731.87,2025-01-02,Active
72805,11213,19,Current,103733.5,2025-01-02,Closed
80052,44477,34,Savings,18466.42,2025-01-02,Active
94237,49549,4,Current,33502.76,2025-01-02,Active
5364,39019,18,Savings,1040.59,2025-01-03,Active
7657,48488,63,Savings,22203.38,2025-01-03,Active
10274,49476,58,Savings,21051.07,2025-01-03,Active
23979,22024,54,Current,83044.2,2025-01-03,Dormant
36349,34455,116,Savings,74307.33,2025-01-03,Active
56330,6528,16,Savings,28492.27,2025-01-03,Active
68269,33704,141,Current,16487.07,2025-01-03,Active
84098,7023,85,Current,48268.28,2025-01-03,Active
86821,33763,72,Savings,1808.09,2025-01-03,Active
20305,55678,52,Savings,37248.64,2025-01-04,Active
22443,31588,38,Savings,34286.04,2025-01-04,Active
27626,27782,63,Salary,22416.1,2025-01-04,Active
37749,26814,101,Salary,15707.6,2025-01-04,Dormant
37751,41927,76,Savings,41334.4,2025-01-04,Active
37958,16277,77,Savings,68351.96,2025-01-04,Active
55123,48833,23,Savings,88172.17,2025-01-04,Dormant
64075,18111,58,Salary,19314.91,2025-01-04,Active
67241,43295,139,Salary,52117.42,2025-01-04,Active
78054,27557,71,Salary,75219.78,2025-01-04,Active
94699,14736,137,Savings,115700.83,2025-01-04,Active
2203,14768,72,Current,23749.64,2025-01-05,Active
5335,1965,130,Current,16656.55,2025-01-05,Active
14550,45538,78,Savings,667.44,2025-01-05,Active
23963,21836,37,Current,75337,2025-01-05,Active
29991,12673,61,Savings,38837.24,2025-01-05,Active
37535,52066,133,NRI,41093.05,2025-01-05,Active
45756,4531,31,Savings,69005.55,2025-01-05,Active
62174,6774,16,Savings,3971.52,2025-01-05,Active
65611,18065,94,Salary,12845.84,2025-01-05,Active
70199,13296,106,Fixed Deposit,123302.18,2025-01-05,Active
81570,59820,103,Salary,65957.02,2025-01-05,Active
8214,3978,145,Salary,87803.49,2025-01-06,Active
36271,32171,38,Savings,37241.16,2025-01-06,Active
38885,491,8,Savings,86208.86,2025-01-06,Active
42742,1211,2,Savings,103105.44,2025-01-06,Active
47853,22048,135,Fixed Deposit,3778.84,2025-01-06,Active
59454,1835,23,Savings,971.21,2025-01-06,Active
59827,16082,42,Salary,1022.38,2025-01-06,Active
81269,4230,144,Current,4999.09,2025-01-06,Active
24,36353,104,Savings,40852.98,2025-01-07,Active
3831,8913,24,Savings,44092.75,2025-01-07,Active
32424,11172,4,Salary,16160.77,2025-01-07,Active
40492,41628,115,Current,3525.45,2025-01-07,Active
55147,6013,120,Savings,7064.43,2025-01-07,Active
55608,26418,138,Savings,9071.23,2025-01-07,Active
58849,21780,54,Savings,137703.08,2025-01-07,Active
66705,20366,109,NRI,65413.21,2025-01-07,Active
67043,41493,40,Current,37600.91,2025-01-07,Active
67333,42711,67,Savings,64349.69,2025-01-07,Active
73963,53872,67,Current,20117.82,2025-01-07,Active
2723,49739,50,Current,15810.36,2025-01-08,Active
5700,6790,28,Savings,139963.28,2025-01-08,Active
11784,13522,96,Fixed Deposit,7396.05,2025-01-08,Active
11962,27671,99,Current,89576.16,2025-01-08,Active
17926,44630,74,Savings,20172.83,2025-01-08,Active
