id,cliente,valor,status,lat,lng,risco_score,ibge,municipio,uf,estado,occurred_at,regiao
0,Cliente 0,13596.44,Reprovada,-4.457,-41.944,16,220240,Capitão de Campos,PI,Piauí,2026-02-09T21:36:17,Nordeste
1,Cliente 1,406.01,Aprovada,-10.8761,-51.6357,39,510677,Porto Alegre do Norte,MT,Mato Grosso,2026-05-27T17:27:01,Centro-Oeste
2,Cliente 2,27549.1,Aprovada,-5.69822,-48.4103,32,150175,Brejo Grande do Araguaia,PA,Pará,2026-01-29T19:44:50,Norte
3,Cliente 3,16512.18,Aprovada,-7.59713,-42.3676,13,221039,São Miguel do Fidalgo,PI,Piauí,2026-06-29T21:08:03,Nordeste
4,Cliente 4,11238.61,Reprovada,-23.7364,-53.4884,31,412880,Xambrê,PR,Paraná,2026-07-26T13:01:25,Sul
5,Cliente 5,28958.59,Aprovada,-2.20793,-56.7112,25,130300,Nhamundá,AM,Amazonas,2026-05-02T05:14:46,Norte
6,Cliente 6,5587.27,Aprovada,-8.50548,-39.3094,21,260300,Cabrobó,PE,Pernambuco,2026-01-31T22:10:13,Nordeste
7,Cliente 7,42001.83,Aprovada,-27.4242,-51.7668,11,421310,Piratuba,SC,Santa Catarina,2026-05-24T06:55:53,Sul
8,Cliente 8,47633.36,Pendenciada,-22.08,-54.7934,45,500450,Itaporã,MS,Mato Grosso do Sul,2026-03-30T19:38:25,Centro-Oeste
9,Cliente 9,10090.18,Aprovada,-22.1207,-51.3925,54,354140,Presidente Prudente,SP,São Paulo,2026-05-30T20:13:41,Sudeste
10,Cliente 10,20843.71,Aprovada,-26.0731,-52.8353,41,410322,Bom Sucesso do Sul,PR,Paraná,2026-01-27T05:02:21,Sul
11,Cliente 11,31334.79,Reprovada,-17.8552,-42.8561,9,313250,Itamarandiba,MG,Minas Gerais,2026-03-28T19:27:57,Sudeste
12,Cliente 12,30622.21,Aprovada,-21.4593,-49.5755,44,354460,Sabino,SP,São Paulo,2026-06-09T16:59:47,Sudeste
13,Cliente 13,9722.23,Pendenciada,-23.8533,-52.1309,29,412110,Quinta do Sol,PR,Paraná,2026-06-01T16:32:57,Sul
14,Cliente 14,40323.32,Aprovada,-20.9785,-43.1834,68,312330,Dores do Turvo,MG,Minas Gerais,2026-03-02T00:42:41,Sudeste
15,Cliente 15,820.57,Aprovada,-14.8563,-43.9146,13,314085,Matias Cardoso,MG,Minas Gerais,2026-04-22T16:09:58,Sudeste
16,Cliente 16,18393.35,Aprovada,-19.6239,-43.2312,25,313170,Itabira,MG,Minas Gerais,2026-03-27T03:30:09,Sudeste
17,Cliente 17,45914.26,Pendenciada,-14.4451,-47.0417,38,520790,Flores de Goiás,GO,Goiás,2026-03-08T22:27:39,Centro-Oeste
18,Cliente 18,25701.37,Pendenciada,-15.2429,-40.63,16,291580,Itambé,BA,Bahia,2026-03-29T01:32:58,Nordeste
19,Cliente 19,36210.92,Aprovada,-17.5258,-52.065,55,521645,Perolândia,GO,Goiás,2026-05-20T14:42:45,Centro-Oeste
20,Cliente 20,40768.9,Fraude,-9.83404,-48.7252,86,170310,Barrolândia,TO,Tocantins,2026-01-21T14:37:52,Norte
21,Cliente 21,9554.61,Aprovada,-21.5894,-48.0728,18,354370,Rincão,SP,São Paulo,2026-06-05T12:05:59,Sudeste
22,Cliente 22,5642.99,Aprovada,-12.4026,-46.437,60,172090,Taguatinga,TO,Tocantins,2026-07-10T10:49:49,Norte
23,Cliente 23,10153.67,Aprovada,-21.4657,-54.3825,11,500600,Nova Alvorada do Sul,MS,Mato Grosso do Sul,2026-05-03T06:27:55,Centro-Oeste
24,Cliente 24,6540.02,Aprovada,-27.6936,-52.0505,32,430155,Áurea,RS,Rio Grande do Sul,2026-01-16T22:32:51,Sul
25,Cliente 25,27624.54,Aprovada,-10.9578,-41.0756,55,292335,Ourolândia,BA,Bahia,2026-05-10T20:10:40,Nordeste
26,Cliente 26,30314.67,Aprovada,-25.4308,-53.4117,66,410305,Boa Vista da Aparecida,PR,Paraná,2026-01-24T22:51:07,Sul
27,Cliente 27,13413.66,Aprovada,-14.0684,-42.4861,51,290520,Caetité,BA,Bahia,2026-02-02T10:23:05,Nordeste
28,Cliente 28,31313.23,Aprovada,-20.7948,-50.1912,40,351680,Gastão Vidigal,SP,São Paulo,2026-03-12T07:55:28,Sudeste
29,Cliente 29,14096.42,Aprovada,-24.5665,-49.4219,43,412863,Doutor Ulysses,PR,Paraná,2026-03-02T12:04:35,Sul
30,Cliente 30,3385.7,Aprovada,-19.7477,-43.3679,3,316443,São Sebastião da Vargem Alegre,MG,Minas Gerais,2026-07-01T19:23:03,Sudeste
31,Cliente 31,4714.61,Aprovada,-19.9636,-43.8079,39,315390,Raposos,MG,Minas Gerais,2026-06-02T14:51:47,Sudeste
32,Cliente 32,23050.6,Reprovada,-7.92235,-38.9701,0,261610,Verdejante,PE,Pernambuco,2026-07-23T09:44:05,Nordeste
33,Cliente 33,16273.03,Aprovada,-9.71429,-63.3188,49,110040,Alto Paraíso,RO,Rondônia,2026-01-06T20:38:55,Norte
34,Cliente 34,31998.31,Pendenciada,-2.97409,-57.5873,39,130068,Boa Vista do Ramos,AM,Amazonas,2026-01-25T04:06:20,Norte
35,Cliente 35,12638.12,Aprovada,-28.6723,-49.3729,22,420460,Criciúma,SC,Santa Catarina,2026-02-23T20:28:15,Sul
36,Cliente 36,45050.19,Aprovada,-25.4391,-54.402,60,412405,Santa Terezinha de Itaipu,PR,Paraná,2026-06-16T20:08:03,Sul
37,Cliente 37,47747.95,Aprovada,-16.7924,-50.1652,42,521590,Palminópolis,GO,Goiás,2026-05-12T20:56:45,Centro-Oeste
38,Cliente 38,11597.6,Aprovada,-19.2199,-42.4828,53,310630,Belo Oriente,MG,Minas Gerais,2026-01-23T03:02:05,Sudeste
39,Cliente 39,21749.48,Pendenciada,-3.43245,-45.6619,40,210465,Governador Newton Bello,MA,Maranhão,2026-03-14T12:44:48,Nordeste
40,Cliente 40,20829.74,Pendenciada,-8.97034,-48.1729,54,171650,Pedro Afonso,TO,Tocantins,2026-05-19T00:48:06,Norte
41,Cliente 41,49630.27,Pendenciada,-14.8541,-42.4329,16,291740,Jacaraci,BA,Bahia,2026-04-02T19:48:29,Nordeste
42,Cliente 42,17309.19,Pendenciada,-8.81605,-35.1832,68,260140,Barreiros,PE,Pernambuco,2026-01-21T06:29:24,Nordeste
43,Cliente 43,49506.06,Aprovada,-23.5333,-46.3473,23,353980,Poá,SP,São Paulo,2026-05-25T09:21:59,Sudeste
44,Cliente 44,18990.21,Aprovada,-22.2904,-51.9084,42,353020,Mirante do Paranapanema,SP,São Paulo,2026-04-25T22:48:39,Sudeste
45,Cliente 45,11948.44,Aprovada,-6.80383,-35.0776,25,251290,Rio Tinto,PB,Paraíba,2026-06-07T18:03:47,Nordeste
46,Cliente 46,288.97,Reprovada,-26.2451,-51.0759,55,421360,Porto União,SC,Santa Catarina,2026-05-28T18:27:43,Sul
47,Cliente 47,29497.32,Aprovada,-8.88429,-36.2902,40,260100,Angelim,PE,Pernambuco,2026-01-09T19:10:19,Nordeste
48,Cliente 48,9301.3,Fraude,-14.8859,-44.0922,87,316245,São João das Missões,MG,Minas Gerais,2026-06-24T17:21:55,Sudeste
49,Cliente 49,6859.65,Aprovada,-20.9566,-43.811,41,311320,Carandaí,MG,Minas Gerais,2026-02-10T16:18:07,Sudeste
50,Cliente 50,33679.44,Aprovada,-24.1085,-49.3352,11,352320,Itararé,SP,São Paulo,2026-03-31T10:56:01,Sudeste
51,Cliente 51,38838.71,Aprovada,-9.63715,-35.7994,49,270220,Coqueiro Seco,AL,Alagoas,2026-02-21T03:00:12,Nordeste
52,Cliente 52,7707.11,Reprovada,-14.4662,-48.4599,32,521460,Niquelândia,GO,Goiás,2026-05-02T12:40:40,Centro-Oeste
53,Cliente 53,43227.54,Aprovada,-22.2097,-44.2344,32,314780,Passa-Vinte,MG,Minas Gerais,2026-05-15T22:17:33,Sudeste
54,Cliente 54,23116.41,Pendenciada,-20.5466,-41.6667,27,320255,Ibitirama,ES,Espírito Santo,2026-03-20T20:30:04,Sudeste
55,Cliente 55,41102.67,Pendenciada,-27.0984,-53.5977,12,421625,São João do Oeste,SC,Santa Catarina,2026-06-25T07:02:45,Sul
56,Cliente 56,41313.53,Aprovada,-3.04996,-40.1671,61,230230,Bela Cruz,CE,Ceará,2026-01-22T04:28:41,Nordeste
57,Cliente 57,6868.45,Aprovada,-9.94912,-55.8417,46,510279,Carlinda,MT,Mato Grosso,2026-02-11T16:29:48,Centro-Oeste
58,Cliente 58,33876.09,Aprovada,-20.7868,-43.6949,65,315910,Santana dos Montes,MG,Minas Gerais,2026-06-18T02:00:22,Sudeste
59,Cliente 59,42144.35,Pendenciada,-6.94992,-35.8011,38,251270,Remígio,PB,Paraíba,2026-06-03T08:03:16,Nordeste
60,Cliente 60,5339.66,Aprovada,-26.981,-49.7261,37,420510,Dona Emma,SC,Santa Catarina,2026-03-01T17:41:34,Sul
61,Cliente 61,43493.38,Aprovada,-20.2401,-41.9848,10,315415,Reduto,MG,Minas Gerais,2026-06-03T01:34:58,Sudeste
62,Cliente 62,18425.85,Pendenciada,-4.2416,-69.9383,33,130406,Tabatinga,AM,Amazonas,2026-07-09T22:26:08,Norte
63,Cliente 63,9313.88,Fraude,-22.6665,-45.0154,86,350860,Cachoeira Paulista,SP,São Paulo,2026-02-01T16:45:45,Sudeste
64,Cliente 64,24675.39,Aprovada,-19.1461,-47.6779,46,314500,Nova Ponte,MG,Minas Gerais,2026-05-05T22:50:47,Sudeste
65,Cliente 65,26963.02,Aprovada,-10.4704,-50.514,8,510777,Santa Terezinha,MT,Mato Grosso,2026-06-16T18:50:30,Centro-Oeste
66,Cliente 66,11828.4,Fraude,-8.15289,-37.0138,100,251520,São Sebastião do Umbuzeiro,PB,Paraíba,2026-07-02T06:52:43,Nordeste
67,Cliente 67,33767.67,Aprovada,-18.8411,-42.2867,32,316160,São Geraldo da Piedade,MG,Minas Gerais,2026-06-23T08:11:49,Sudeste
68,Cliente 68,4657.45,Pendenciada,-16.8488,-40.1641,17,291845,Jucuruçu,BA,Bahia,2026-04-08T16:47:17,Nordeste
