id,cliente,valor,status,lat,lng,risco_score
0,Cliente 0,13596.44,Reprovada,-23.9841,-39.1525,16
1,Cliente 1,406.01,Aprovada,-5.6484,-39.0021,39
2,Cliente 2,27549.1,Aprovada,-8.9481,-36.6973,32
3,Cliente 3,16512.18,Aprovada,-6.8193,-45.6306,13
4,Cliente 4,11238.61,Reprovada,-6.1674,-56.3959,31
5,Cliente 5,28958.59,Aprovada,-12.0636,-37.5415,25
6,Cliente 6,5587.27,Aprovada,-27.899,-48.46,21
7,Cliente 7,42001.83,Aprovada,-20.0981,-39.8979,11
8,Cliente 8,47633.36,Pendenciada,-20.1295,-55.1337,45
9,Cliente 9,10090.18,Aprovada,-17.6161,-57.0954,54
10,Cliente 10,20843.71,Aprovada,-17.2657,-38.4945,41
11,Cliente 11,31334.79,Reprovada,-27.3135,-41.9495,9
12,Cliente 12,30622.21,Aprovada,-17.4607,-48.753,44
13,Cliente 13,9722.23,Pendenciada,-14.7457,-59.2043,29
14,Cliente 14,40323.32,Aprovada,-9.9962,-55.6473,68
15,Cliente 15,820.57,Aprovada,-6.2289,-36.4123,13
16,Cliente 16,18393.35,Aprovada,-25.0231,-39.217,25
17,Cliente 17,45914.26,Pendenciada,-17.6725,-43.802,38
18,Cliente 18,25701.37,Pendenciada,-8.956,-41.3949,16
19,Cliente 19,36210.92,Aprovada,-7.199,-51.0156,55
20,Cliente 20,40768.9,Fraude,-25.5586,-41.4063,86
21,Cliente 21,9554.61,Aprovada,-5.0642,-53.138,18
22,Cliente 22,5642.99,Aprovada,-27.7717,-59.2721,60
23,Cliente 23,10153.67,Aprovada,-28.5162,-55.3626,11
24,Cliente 24,6540.02,Aprovada,-17.3352,-49.2666,32
25,Cliente 25,27624.54,Aprovada,-10.2886,-58.6746,55
26,Cliente 26,30314.67,Aprovada,-17.8976,-35.5827,66
27,Cliente 27,13413.66,Aprovada,-20.6177,-42.6321,51
28,Cliente 28,31313.23,Aprovada,-25.2042,-39.8214,40
29,Cliente 29,14096.42,Aprovada,-8.5052,-50.3839,43
30,Cliente 30,3385.7,Aprovada,-28.7289,-39.6341,3
31,Cliente 31,4714.61,Aprovada,-11.8164,-38.6843,39
32,Cliente 32,23050.6,Reprovada,-8.4116,-40.3256,0
33,Cliente 33,16273.03,Aprovada,-6.4726,-42.6805,49
34,Cliente 34,31998.31,Pendenciada,-24.5737,-58.1756,39
35,Cliente 35,12638.12,Aprovada,-13.0889,-44.4688,22
36,Cliente 36,45050.19,Aprovada,-5.1956,-38.0651,60
37,Cliente 37,47747.95,Aprovada,-24.3241,-47.6694,42
38,Cliente 38,11597.6,Aprovada,-27.1972,-44.106,53
39,Cliente 39,21749.48,Pendenciada,-19.5362,-48.6088,40
40,Cliente 40,20829.74,Pendenciada,-23.3593,-58.0098,54
41,Cliente 41,49630.27,Pendenciada,-17.4154,-59.7139,16
42,Cliente 42,17309.19,Pendenciada,-10.4437,-41.0957,68
43,Cliente 43,49506.06,Aprovada,-26.082,-56.6218,23
44,Cliente 44,18990.21,Aprovada,-12.7956,-44.2233,42
45,Cliente 45,11948.44,Aprovada,-13.2177,-52.6806,25
46,Cliente 46,288.97,Reprovada,-17.0009,-38.254,55
47,Cliente 47,29497.32,Aprovada,-15.6234,-42.1999,40
48,Cliente 48,9301.3,Fraude,-8.5334,-38.148,87
49,Cliente 49,6859.65,Aprovada,-24.0949,-45.1358,41
50,Cliente 50,33679.44,Aprovada,-8.4213,-57.7263,11
51,Cliente 51,38838.71,Aprovada,-20.9706,-55.8414,49
52,Cliente 52,7707.11,Reprovada,-17.2825,-58.6563,32
53,Cliente 53,43227.54,Aprovada,-6.6982,-52.752,32
54,Cliente 54,23116.41,Pendenciada,-8.1071,-52.979,27
55,Cliente 55,41102.67,Pendenciada,-8.1273,-55.382,12
56,Cliente 56,41313.53,Aprovada,-27.1337,-38.5659,61
57,Cliente 57,6868.45,Aprovada,-23.4524,-53.6692,46
58,Cliente 58,33876.09,Aprovada,-26.9113,-39.9259,65
59,Cliente 59,42144.35,Pendenciada,-26.5453,-56.9557,38
60,Cliente 60,5339.66,Aprovada,-14.0823,-48.7089,37
61,Cliente 61,43493.38,Aprovada,-28.8071,-58.2239,10
62,Cliente 62,18425.85,Pendenciada,-22.723,-40.1867,33
63,Cliente 63,9313.88,Fraude,-14.8691,-50.9041,86
64,Cliente 64,24675.39,Aprovada,-5.8482,-36.8111,46
65,Cliente 65,26963.02,Aprovada,-21.4265,-36.6108,8
66,Cliente 66,11828.4,Fraude,-13.3297,-45.0371,100
67,Cliente 67,33767.67,Aprovada,-8.8376,-35.0483,32
68,Cliente 68,4657.45,Pendenciada,-24.8172,-55.6792,17
69,Cliente 69,37175.97,Pendenciada,-21.1333,-42.3076,15
70,Cliente 70,38927.19,Fraude,-29.4624,-47.4315,98
71,Cliente 71,24470.36,Reprovada,-16.6004,-54.523,12
72,Cliente 72,6989.99,Pendenciada,-24.4509,-44.3499,42
73,Cliente 73,8674.64,Reprovada,-22.3675,-52.0183,25
